Hotel ID,Hotel Name,Total Rating,Overall Customers
240439,Hilton Garden Inn Houston / Bush Intercontinental Airport,4.0,1
98996,Hilton Houston Plaza/Medical Center,7.75,4
257507,Four Points by Sheraton Houston Southwest,5.0,1
223142,Country Inn & Suites Intercontinental Airport,5.0,1
98987,Marriott Houston Airport at George Bush Intercontinental,2.0,1
98920,Houston Marriott Westchase,2.5,2
223159,Holiday Inn Express Houston-Downtown Convention Center,4.0,1
111618,Renaissance Houston Hotel Greenway Plaza,5.0,5
124937,La Quinta Inn Houston Greenway Plaza,4.0,1
107954,TownePlace Suites Houston I-10 West/Energy Corridor,3.0,1
223166,Homewood Suites by Hilton Houston - Willowbrook Mall,3.5,2
223139,HYATT house Houston/Galleria,4.333333333333333,3
223193,Wingate by Wyndham Houston / Willowbrook,5.0,1
258636,Alden-Houston,9.058823529411764,17
98954,DoubleTree Suites by Hilton Houston by the Galleria,4.25,4
99103,Sheraton Suites Houston Near The Galleria,4.25,4
98991,Houston Marriott Medical Center,2.0,3
99114,Westin Galleria Houston Hotel,3.6666666666666665,3
98944,Hilton Houston Post Oak,2.75,4
107826,Houston Marriott North,4.5,2
277894,Homewood Suites by Hilton HOU Intercontinental Airport,5.0,1
220094,Sonesta ES Suites Houston,5.0,1
99010,JW Marriott Houston,4.666666666666667,3
99135,Westin Oaks Houston at the Galleria,1.5,2
107856,La Quinta Inn & Suites Houston Galleria Area,5.0,4
99116,Crowne Plaza Houston Downtown,2.5,2
268151,Residence Inn by Marritt Houston Downtown /Convention Center,4.0,1
98956,Holiday Inn Hotel & Suites Houston Medical Center,5.0,1
286987,Inn at the Ballpark,5.0,3
223173,Red Roof Inn - Houston - Westchase,3.0,1
223145,Embassy Suites Houston - Near the Galleria,1.0,1
99006,Hyatt Regency Houston,4.0,1
99060,Omni Houston Hotel,3.076923076923077,13
99137,Hilton Houston North,4.0,3
99055,Omni Houston Hotel Westside,4.0,2
99054,Houston Marriott West Loop by the Galleria,24.0,1
219703,Sheraton Houston Brookhollow Hotel,5.0,1
107836,The St. Regis Houston,4.333333333333333,3
99109,The Houstonian,4.5,2
266157,Magnolia Hotel Houston,3.4285714285714284,7
99455,Hyatt Regency San Antonio,4.944444444444445,18
223058,Red Roof Inn San Antonio - Airport,1.0,1
108703,Hyatt Place San Antonio Northwest,3.4,5
240451,Drury Inn & Suites San Antonio Northwest Medical Center,8.6,5
223712,La Quinta Inn & Suites San Antonio Airport,3.0,1
108736,Extended Stay Deluxe - San Antonio - Colonnade,5.0,3
108533,Fairfield Inn San Antonio Airport/North Star Mall,3.5,2
240452,Park Inn San Antonio North,1.0,1
259215,Budget Lodge Inn & Suites,1.0,1
108577,Sierra Royale,2.6666666666666665,9
223687,Villager Lodge San Antonio,2.0,4
293240,Rodeway Inn San Antonio Near AT&T Center,3.0,1
491073,Travel Inn,24.0,1
99536,Red Roof Inn Lackland,3.5,4
222987,Days Inn Downtown/Riverwalk,1.0,2
123710,Oak Hills Medical Center Hotel,1.0,1
108642,Baymont San Antonio Wurzbach / Medical Center,15.0,1
239972,Motel 6 San Antonio - Fiesta,4.0,1
108934,HomeGate Studios & Suites San Antonio Fiesta Park,3.6666666666666665,3
108255,Ramada Limited Downtown,5.75,4
249576,La Villita Inn San Antonio,1.0,1
99513,Rodeway Inn Downtown,7.333333333333333,3
99515,Mi Casa Inn & Suites,1.0,1
99472,La Quinta Inn San Antonio South Park,5.0,1
99445,Holiday Inn San Antonio Downtown,5.6,5
108931,Comfort Inn Fiesta Park Area,7.0,1
73250,Extend A Suites-San Antonio,2.0,1
108943,Comfort Suites San Antonio at Rittiman,4.0,1
225490,Microtel Inn & Suites by Wyndham San Antonio North East,1.75,4
99439,Hampton Inn San Antonio NW/Sea World Area,3.0,1
122791,Candlewood Suites - San Antonio NW Medical Center,4.0,1
239971,Motel 6 San Antonio - Alamo Dome South,18.0,1
99417,La Quinta Inn San Antonio AlamoDome South,3.3333333333333335,3
1014760,Hotel Mimosa Riverwalk,4.0,1
108574,Sleep Inn Medical Center Northwest,1.6,5
99464,La Quinta Inn San Antonio Sea World Ingram Park,4.0,3
99421,Courtyard San Antonio Medical Center,4.0,1
124464,Rodeway Inn at Lackland AFB,1.0,1
99487,Marriott San Antonio Riverwalk,4.076923076923077,13
99540,Travelodge San Antonio Alamo,3.6,5
108260,The Antonian,4.0,4
146138,The Fairmount,6.142857142857143,7
99416,Crowne Plaza Airport,3.75,4
108444,Super 8 San Antonio,1.0,1
99450,San Antonio Marriott Northwest,4.0,2
99476,La Quinta Inn San Antonio I-35 N at Toepperwein,3.0,1
108562,Courtyard by Marriott San Antonio Airport / North Star Mall,3.3333333333333335,3
99441,Holiday Inn San Antonio International Airport,5.0,2
252502,Holiday Inn Express Hotel & Suites San Antonio-Downtown Market Area,4.0,1
99480,La Quinta Inn San Antonio Vance Jackson,4.0,1
108339,Fairfield Inn San Antonio Downtown/Market Square,3.0,4
108408,Hyatt Place San Antonio Airport,1.0,1
73242,BEST WESTERN Ingram Park Inn,7.0,2
108487,Pear Tree Inn San Antonio Airport,2.0,1
108364,BEST WESTERN Alamo Suites,3.75,4
108676,Howard Johnson San Antonio/Near Balcones Heights,5.0,1
99504,DoubleTree Hotel San Antonio Airport,4.2,5
108932,BEST WESTERN PLUS Fiesta Inn,2.0,1
223706,Hampton Inn San Antonio Downtown (River Walk),7.166666666666667,6
109753,Hilton Garden Inn San Antonio Airport,2.5,2
108361,Courtyard by Marriott San Antonio Downtown/Market Square,4.0,2
223697,Hilton San Antonio Hill Country Hotel & Spa,3.0,23
99451,Holiday Inn Riverwalk,2.3636363636363638,11
108522,Hill Country Inn & Suites,5.0,1
99470,La Quinta Inn San Antonio Market Square,3.0,2
99462,La Quinta Inn & Suites San Antonio Convention Cntr,14.0,1
99434,Embassy Suites Hotel San Antonio Northwest / I-10,7.5,4
108250,Crowne Plaza San Antonio Riverwalk,4.4,10
99433,Embassy Suites Hotel San Antonio International Airport,4.0,2
123557,Red Roof Inn San Antonio Downtown - Riverwalk,18.0,1
223057,SpringHill Suites San Antonio Medical Center/Northwest,2.6,5
99468,La Quinta Inn San Antonio Lackland,1.0,1
112231,Homewood Suites by Hilton San Antonio-Riverwalk/Downtown,6.4,35
99531,The Menger Hotel,4.512820512820513,39
112240,Omni San Antonio Hotel,5.7,10
99489,"O'Brien Historic Hotel, an Ascend Collection Hotel",5.529411764705882,17
99494,Marriott Plaza San Antonio,3.7142857142857144,14
223230,Staybridge Suites San Antonio Airport,4.0,2
223669,La Quinta Inn & Suites San Antonio Downtown,3.642857142857143,14
123559,Drury Inn & Suites Riverwalk,6.35,20
99458,Omni La Mansion del Rio,5.282051282051282,39
99530,Hilton Palacio del Rio,4.571428571428571,21
258651,Hotel Valencia Riverwalk,7.491803278688525,61
112227,Sheraton Gunter Hotel San Antonio,5.8,15
99488,San Antonio Marriott Rivercenter,8.923076923076923,13
99453,Hyatt Regency Hill Country Resort and Spa,4.512820512820513,39
108254,Residence Inn San Antonio Downtown/Alamo Plaza,9.75,4
239912,BEST WESTERN PLUS Sunset Suites - Riverwalk,6.0,4
269651,Riverwalk Vista,5.0,4
288617,Mokara Hotel and Spa,6.875,8
108571,Westin La Cantera Hill Country Resort,9.333333333333334,18
224228,Homewood Suites Dallas-Market Center,3.0,1
111538,Cooper Hotel & Conference Center,5.0,1
109438,Residence Inn Dallas Central Expressway,1.0,1
109352,Budget Suites of America-Dallas,24.0,1
109277,Econo Lodge Dallas Airport North,1.0,1
109455,Suburban Extended Stay,3.0,1
224240,HYATT house Dallas/Lincoln Park,7.25,4
109367,Dallas Marriott Suites Medical/Market Center,10.5,2
109075,Terra Cotta Inn,24.0,1
98695,Hotel Dallas Mockingbird,1.75,4
98733,Embassy Suites Hotel Dallas Love Field,4.5,2
209356,Holiday Inn Select Dallas Central (North Park Area),22.0,1
98666,Quality Inn Dallas Market Center,4.0,1
98664,Radisson Hotel Dallas East,2.0,1
109371,Holiday Inn Express Hotel & Suites Dallas/Stemmons Fwy(I-35 E),5.0,1
98640,DoubleTree by Hilton Hotel Dallas - Campbell Centre,5.333333333333333,3
98678,Howard Johnson Inn - Dallas,1.0,1
109426,Springhill Suites Dallas Downtown West End,2.5,2
109493,Candlewood Suites - Dallas by the Galleria,5.0,1
98622,SpringHill Suites NW Hwy at Stemmons/I-35E,5.0,1
109379,Sterling Hotel,2.3333333333333335,9
109325,Comfort Suites Park Central,4.0,1
98728,The Westin Galleria Dallas,2.75,8
109389,Fairfield Inn Dallas Market Center,4.0,1
98719,Sheraton Suites Market Center,10.5,2
98686,La Quinta Inn & Suites Dallas North Central,4.5,2
585414,Hyatt Regency DFW,7.833333333333333,6
98683,La Quinta Inn Dallas Uptown,3.0,1
109412,InterContinental Dallas,2.3333333333333335,6
122699,Hyatt Place Dallas-North,4.0,1
109339,Homestead Studio Suites - Dallas - Plano,1.0,1
224241,Hilton Garden Inn Dallas/Market Center,11.0,2
73644,BEST WESTERN Market Center,5.933333333333334,15
109351,Courtyard by Marriott Dallas Central Expressway,5.0,1
109454,Hotel Lawrence,4.833333333333333,6
98631,Crowne Plaza Dallas Market Center,2.0,3
98606,The Fairmont Dallas,1.0,2
543081,Extended Stay America - Dallas - North - Park Central,3.0,1
223053,BEST WESTERN PLUS Dallas Hotel & Conference Center,5.0,2
109374,Residence Inn Dallas Market Center,2.0,1
122715,Omni Dallas Hotel at Park West,4.25,4
109370,Courtyard by Marriott Dallas Market Center,15.0,2
98639,Sheraton Dallas Hotel by the Galleria,4.5,2
224130,HYATT house Dallas/Uptown,17.0,5
109452,MCM Elegante Hotel and Suites,1.0,1
98717,The Westin Park Central,4.0,1
109336,Hyatt Place Dallas / Park Central,4.0,1
98641,Hilton Dallas Lincoln Centre,2.5,8
109231,Fairfield Inn Dallas North,5.0,1
98629,Rosewood Crescent Hotel,4.5,4
109404,Candlewood Suites - Dallas Market Center,10.0,2
98679,Hyatt Regency Dallas,8.285714285714286,7
98727,Warwick Melrose Hotel Dallas,5.7272727272727275,11
98726,Rosewood Mansion on Turtle Creek,3.375,8
98710,Renaissance Dallas Hotel,7.6,5
114942,Adolphus Hotel,3.533333333333333,15
98474,The Driskill,6.0,10
142074,Hotel San Jose,8.7,10
109000,Drury Inn & Suites Austin North,4.0,1
240526,Country Inn & Suites By Carlson Austin-North,4.333333333333333,3
108994,Hawthorn Suites - Austin South,3.6666666666666665,3
111390,Wellesley Inn & Suites Austin Town Lake,7.333333333333333,3
223683,"Hawthorn Suites by Wyndham Austin, Riverside Dr",3.5,2
226433,Motel 6 Austin North,1.0,1
108990,Quality Inn & Suites Airport,13.0,1
223707,SpringHill Suites Austin South,2.0,1
98405,American Inn,1.0,1
217731,Extended Stay America - Austin - North Central,4.0,3
288725,Mountain Star Lodge and Hotel,5.0,1
108991,La Quinta Inn Austin North,5.0,1
142018,Econo Lodge Austin,14.0,2
109008,BEST WESTERN PLUS Austin City Hotel,1.0,1
108975,Ramada Limited Austin North,14.0,1
98467,Rodeway Inn University / Downtown,1.0,1
1635868,Howard Johnson Austin North,2.25,4
109010,Candlewood Suites - Austin Arboretum-Northwest,4.5,2
98439,La Quinta Inn Austin Highland Mall,3.5,2
108964,La Quinta Inn Austin Capitol,3.0,2
223714,Extended Stay America - Austin - Arboretum - North,16.0,1
108987,Holiday Inn Express Hotel & Suites Austin North,4.0,1
98435,Holiday Inn Express & Suites Austin - Sunset Valley,1.0,1
108976,Homewood Suites by Hilton Austin South / Airport,5.0,1
220106,Quality Inn North Austin,24.0,1
223679,Extended Stay America - Austin - Downtown - 6th St.,10.0,2
111377,Austin Motel,2.75,8
98420,Embassy Suites Austin - Downtown/Town Lake Austin Texas,3.4,5
73763,BEST WESTERN Atrium North,4.0,1
98426,Hampton Inn Austin - North (I-35 & Highway 183),5.0,1
108963,Hotel Allandale,4.333333333333333,6
98457,Radisson Hotel & Suites Austin Downtown,11.25,4
111381,Courtyard Austin - University Area,5.0,1
108983,DoubleTree by Hilton Austin - University Area,3.0,1
108969,Habitat Suites Hotel,4.666666666666667,3
108962,Residence Inn Austin Northwest / Arboretum,4.0,2
108996,Fairfield Inn and Suites Austin South,5.0,1
98464,Renaissance Austin Hotel,10.428571428571429,7
111397,Hilton Garden Inn Austin Downtown/Convention Center,7.2,5
98445,Lakeway Resort and Spa,4.5,4
223686,Hilton Austin Airport,4.0,2
252820,Hilton Garden Inn Austin Northwest / Arboretum,3.0,1
1173092,HYATT house Austin/Arboretum,5.0,1
566802,Holiday Inn Austin Town Lake,2.3333333333333335,3
181851,Barton Creek Resort & Spa,5.0,2
223691,Austin Marriott South,14.0,1
98436,Hyatt Regency Austin,4.166666666666667,6
217734,InterContinental Stephen F. Austin,5.928571428571429,14
98419,Embassy Suites Hotel Austin Central,9.0,4
109012,La Quinta Inn & Suites Round Rock South,3.3333333333333335,3
98418,Doubletree by Hilton Austin,3.25,4
259008,Hampton Inn & Suites Austin Downtown,3.0,2
111395,Omni Austin at South Park,9.0,3
82013,Mansion at Judges' Hill,4.333333333333333,6
282698,Hilton Austin,7.545454545454546,11
98463,Crowne Plaza Austin,1.5,2
98453,Omni Austin Hotel Downtown,9.8,5
99535,The Westin Riverwalk,5.972222222222222,36
108981,Embassy Suites Hotel Austin - Arboretum,5.0,2
111393,Lake Austin Spa Resort,4.0,3
108980,Hampton Inn Austin - Arboretum Northwest,5.0,1
109413,The Magnolia Hotel Dallas,3.9583333333333335,24
73551,Super 8 Fort Worth/Downtown Area,1.0,2
224283,Hampton Inn Ft. Worth - Southwest I-20,4.0,1
109119,Extended Stay Deluxe - Fort Worth - Fossil Creek,4.0,1
277885,Super 8 Meacham / North Fort Worth,5.0,1
98850,Travelodge Midtown,2.0,2
226486,Motel 6 Ft. Worth East,1.0,1
109201,Courtyard by Marriott Fort Worth Fossil Creek,1.0,1
253357,Hotel Texas,4.0,1
109116,Extended Stay Deluxe - Fort Worth - City View,7.5,2
109093,Residence Inn Fort Worth University Drive/River Plaza,3.0,1
114938,Four Seasons Hotel Austin,4.4,5
225116,Country Inn & Suites Fort Worth,4.5,2
109174,Fairfield Inn Fort Worth Fossil Creek,3.0,1
109156,Hilton Garden Inn Fort Worth North,4.0,2
109104,Hyatt Place Fort Worth Cityview,1.0,1
268223,Microtel Inn & Suites by Wyndham Ft. Worth North/At Fossil Creek,4.0,3
224286,Homewood Suites by Hilton Ft. Worth-North at Fossil Creek,5.0,1
223890,Residence Inn Fort Worth Alliance/Airport,1.0,1
109228,Candlewood Suites - Fort Worth/Fossil Creek,6.0,1
109101,La Quinta Inn & Suites Fort Worth North,5.0,1
109173,Fairfield Inn & Suites Fort Worth University Drive,12.0,1
225120,Marriott Hotel & Golf Club at Champions Circle,6.444444444444445,9
98856,Renaissance Worthington Hotel Fort Worth,5.333333333333333,9
114952,Stockyards Hotel,5.625,8
189078,The Ashton Hotel,5.4,10
98849,Hilton Fort Worth,3.0,6
225039,La Quinta Inn & Suites El Paso East,2.0,1
108958,Econo Lodge Inn & Suites,1.0,1
244399,Motel 6 El Paso Central,5.0,1
108945,Hampton Inn El Paso-Airport,3.5,2
98819,El Paso Marriott,3.6666666666666665,3
225031,Hyatt Place El Paso Airport,3.75,4
225037,Studio 6 El Paso East,1.0,1
98800,Cliff Inn,2.75,4
98820,Mesa Inn,2.0,2
98817,La Quinta Inn El Paso - Airport,21.0,1
225038,La Quinta Inn & Suites El Paso Bartlett,3.0,2
225032,Travelodge La Hacienda Airport,4.333333333333333,3
108944,Chase Suite Hotel El Paso,4.0,4
98821,Radisson Hotel El Paso Airport,4.0,2
98810,Holiday Inn El Paso-Sunland & I-10 W.,3.0,1
98798,Camino Real El Paso,4.714285714285714,7
