Hotel ID,Hotel Name,Total Rating,Overall Customers
89998,The Leland,6.75,60
114654,Shorecrest Motor Inn,15.2,5
605656,Corktown Inn,16.333333333333332,3
89995,Milner Hotel,12.423076923076923,26
89999,St. Regis,9.4,20
530320,Viking Motel,7.8,5
94554,Marriott Detroit Airport,23.0,16
114661,Courtyard by Marriott Detroit Downtown,18.0,26
674740,MotorCity Casino Hotel,21.0,4
95294,The Atheneum,13.53125,32
256897,Holiday Inn Express Detroit - Downtown,17.193548387096776,31
288605,Hilton Garden Inn Detroit Downtown,13.304347826086957,23
242702,Inn on Ferry Street,17.220338983050848,59
674735,MGM Grand Detroit,21.363636363636363,11
224064,Detroit Marriott at the Renaissance Center,15.923076923076923,78
95302,Doubletree by Hilton Hotel Detroit-Dearborn,25.61904761904762,21
90003,The Westin Detroit Metropolitan Airport,16.696969696969695,66
