Hotel ID,Hotel Name,Total Rating,Overall Customers
76049,Four Seasons Hotel Los Angeles at Beverly Hills,12.5,26
76790,BEST WESTERN PLUS Eagle Rock Inn,23.5,2
82682,Courtyard by Marriott Los Angeles Woodland Hills,21.333333333333332,9
83988,Sea Rock Inn,1.0,1
223054,Super 8 Motel Los Angeles Downtown,8.333333333333334,3
504815,Rodeway Inn Hollywood,8.571428571428571,7
577590,Vibe Hotel,16.2,15
84513,Quality Inn & Suites by Convention Center,11.285714285714286,7
549431,Americas Best Value Inn - Hollywood / Los Angeles,14.714285714285714,7
272668,Comfort Inn - Los Angeles / West Sunset Blvd.,17.846153846153847,26
313508,Motel 6 Canoga Park,12.0,1
576828,Valley Inn & Conference Center,11.636363636363637,11
256799,Colony Inn North Hollywood,17.0,2
240156,Motel 6 Los Angeles - Van Nuys/Sepulveda,8.5,2
223050,Rotex Hotel And Condo,1.0,1
84499,Hollywood Stars Inn,16.5,2
282463,Americas Best Value Inn,11.0,1
570050,Sunset Inn & Suites,13.8,10
84320,Hotel Solaire Los Angeles,8.8125,16
223044,Vagabond Inn Executive,7.5,18
81120,BEST WESTERN Los Angeles Worldport Hotel,12.25,8
119492,Beverly Inn,11.4,5
235456,Good Nite Inn Sylmar,7.8,15
559383,Hollywood Inn Express North,7.2,10
84442,Travelodge Chatsworth,4.5,2
82496,The Voyager Motor Inn,5.25,4
119399,Hollywood Cityview Inn & Suites,19.0,1
575416,Marina Seven Motel,11.666666666666666,3
77761,Americas Best Value Inn & Suites-Los Angeles Downtown/S.W.,13.0,2
613619,Paradise Inn & Suites,12.0,1
217256,El Patio Inn,3.0,1
76446,Century Wilshire,7.0,23
266004,Pacific Inn and Suites,18.333333333333332,3
82498,Motel 6 Van Nuys,3.0,4
78679,BEST WESTERN PLUS Mikado Hotel,7.5,4
271581,St. George Motor Inn,21.0,1
113229,Highland Gardens Hotel,11.369565217391305,46
81285,Sunrise Hotel San Pedro,11.291666666666666,24
217240,Nite Inn at Universal City,6.333333333333333,3
549441,Hollywood Inn Express South,9.25,12
271479,Hometown Inn,29.0,1
271601,Del Mar Hotel,3.0,1
291209,Los Feliz Motel,7.0,1
271606,Islander Motel,4.0,2
119390,Stars Inn,20.0,1
235134,Super 8 Hollywood,6.3076923076923075,13
248069,Bevonshire Lodge Motel,8.538461538461538,13
77717,Dunes Inn - Wilshire,20.0,1
119434,The Claremont Hotel,9.375,8
82304,Motel 6 Los Angeles Sylmar,22.0,1
77859,Stillwell Hotel,6.8,10
634746,Travelodge Sylmar/Magic Mountain Area,9.625,8
84529,Rodeway Inn Los Angeles,6.75,16
77809,Kawada Hotel,10.333333333333334,24
77260,Rodeway Inn,9.8,10
613137,Royal Pagoda Motel,10.5,2
226148,Studio 6 Van Nuys,7.0,2
84365,Rodeway Inn Culver City,18.5,2
225809,Best Inn Hollywood,10.0,10
235430,BLVD Hotel & Suites,7.913043478260869,46
77729,BEST WESTERN PLUS Dragon Gate Inn,12.625,32
119422,Liberty Hotel,12.375,8
84480,Ramada Wilshire Center,12.0,17
553344,Americas Best Value Inn - Los Angeles / Hollywood,19.0,2
84434,Radisson Hotel Chatsworth,15.294117647058824,17
275366,Super 8 North Hollywood,14.142857142857142,7
276208,Cecil Hotel,6.916666666666667,12
119414,L.A. Sky Boutique Hotel,12.5,6
77753,The Historic Mayfair Hotel,9.806451612903226,31
249692,Ritz Milner Hotel,9.666666666666666,18
84515,Quality Inn Hollywood,14.090909090909092,44
77844,Radisson Midtown at USC,7.875,8
119464,La Mirage Inn,12.25,4
84517,Holiday Inn Express Century City,8.090909090909092,11
235133,Super 8 Los Angeles / Alhambra,15.4,5
239812,The Dixie Hollywood,9.73913043478261,23
77852,The Wilshire Hotel Los Angeles,12.692307692307692,39
82684,Comfort Inn Near Warner Center,8.0,6
268977,Hollywood Downtowner Inn,9.89655172413793,29
82633,Azul Inn,7.333333333333333,9
76460,Staybridge Suites Chatsworth,6.25,4
84553,Comfort Inn Near Universal Studios Hollywood,7.153846153846154,13
82494,Holiday Inn Express Van Nuys,16.3,10
632541,Comfort Inn and Suites near Universal Studios,14.0,2
119454,Saharan Motor Hotel,16.263157894736842,19
240151,Motel 6 Los Angeles - Hollywood,10.375,16
77829,Metro Plaza Hotel,13.736842105263158,19
84286,Holiday Inn Express - Los Angeles Downtown West,3.5,2
223051,Super 8 Los Angeles Airport/LAX,8.166666666666666,12
84437,Ramada Limited Canoga Park/Warner Center,12.833333333333334,6
77870,Vagabond Inn Los Angeles-USC,13.125,8
82689,Warner Center Marriott Woodland Hills,11.65,20
81761,DoubleTree by Hilton Hotel San Pedro,21.0,5
113221,The LA Hotel Downtown,13.518518518518519,27
