Hotel ID,Hotel Name,Total Rating,Overall Customers
253068,"The Ritz-Carlton, Georgetown",7.666666666666667,6
225100,"The Ritz-Carlton, Washington DC",4.555555555555555,9
84127,Savoy Suites Hotel,2.0,4
120592,Tabard Inn,3.125,8
223893,Courtyard Washington Embassy Row,3.3333333333333335,3
308189,Kellogg Conference Hotel at Gallaudet University,3.6666666666666665,3
80689,BEST WESTERN Georgetown Hotel & Suites,6.5,8
125477,Club Quarters,7.111111111111111,9
84082,Hotel Lombardy,5.266666666666667,15
84083,Washington Marriott,4.333333333333333,3
123837,Quality Inn Washington,1.3333333333333333,3
84076,Howard Johnson Express Inn - Washington,1.5,2
84033,The Allen Lee,1.565217391304348,23
295751,"Mandarin Oriental, Washington D.C.",4.0,18
84092,"Rouge, a Kimpton Hotel",4.911764705882353,34
214097,"The Westin Georgetown, Washington D.C.",4.142857142857143,14
84134,Motel 6 Washington DC,1.0,1
84026,The Watergate Hotel,5.055555555555555,18
220075,"Hilton Garden Inn Washington, DC Downtown",7.625,32
120559,DoubleTree Hotel Washington DC,6.846153846153846,13
75021,Windsor Park Hotel,7.285714285714286,7
84120,The Latham Hotel,3.5384615384615383,13
84051,Days Inn Connecticut Ave.,3.375,8
225099,Georgetown University Hotel and Conference Center,4.0,1
120613,Four Points by Sheraton,5.25,12
1212709,District Hotel Washington,2.0,12
84038,Channel Inn Hotel,2.0,3
84072,Holiday Inn Washington - Georgetown,3.727272727272727,11
84029,Georgetown Inn,11.5,2
120563,"DoubleTree Suites Washington, DC",6.1,10
84078,Hyatt Regency Washington on Capitol Hill,4.392857142857143,28
219444,Washington Marriott Wardman Park,4.214285714285714,14
84052,Courtyard by Marriott Washington DC \ Dupont Circle,3.8,5
84068,Harrington Hotel,4.71875,32
266091,"Melrose Hotel, Washington DC",6.148148148148148,27
120566,The Mansion on O Street,4.166666666666667,6
217767,The Churchill Hotel,7.0344827586206895,29
84132,Comfort Inn Downtown DC / Convention Center,4.0,1
84073,Holiday Inn Washington - Central / White House,6.277777777777778,18
84032,Hotel Monticello,11.7,10
240271,Georgetown Suites,8.125,8
84069,The Henley Park Hotel,6.5,10
120614,Hamilton Crowne Plaza Hotel,5.487179487179487,39
84101,"Renaissance Washington, DC Dupont Circle Hotel",5.0,16
84081,L'Enfant Plaza Hotel,4.130434782608695,23
84074,Holiday Inn Washington - Capitol,7.931034482758621,29
224337,"Homewood Suites Washington, DC",9.090909090909092,22
84104,State Plaza Hotel,4.5625,16
84095,Washington Plaza,3.774193548387097,31
84084,Morrison-Clark Historic Inn,2.3333333333333335,3
84113,Beacon Hotel & Corporate Quarters,9.133333333333333,15
84098,"Renaissance Washington, DC Hotel",5.7272727272727275,11
84086,The Normandy Hotel,5.45,20
84062,Embassy Suites Chevy Chase Pavilion,8.555555555555555,9
84067,Grand Hyatt Washington,6.6,35
220047,Courtyard by Marriott Washington Convention Center,7.0,7
84096,"The Mayflower Renaissance Washington, DC Hotel",5.2727272727272725,22
84064,"Embassy Suites Hotel Washington, D.C.",6.117647058823529,17
84100,The River Inn,7.384615384615385,13
223897,Residence Inn Washington/Dupont Circle,4.333333333333333,6
223900,Residence Inn Washington DC / Vermont Ave.,3.6666666666666665,3
84066,George Washington University Inn,7.777777777777778,9
84107,Capital Hilton,5.28,25
220076,St. Gregory Hotel & Suites,12.058823529411764,17
84039,One Washington Circle Hotel,6.166666666666667,24
84087,Omni Shoreham Hotel,5.983050847457627,59
84048,Capitol Hill Hotel,5.230769230769231,13
84070,Washington Marriott at Metro Center,9.166666666666666,12
84129,Washington Court Hotel on Capitol Hill,2.3333333333333335,3
84079,JW Marriott Washington DC,5.138888888888889,36
84115,"Madera, a Kimpton Hotel",5.909090909090909,22
84041,Phoenix Park Hotel,5.230769230769231,13
84065,Four Seasons Washington D.C.,6.166666666666667,6
84090,Park Hyatt Washington,7.0,8
240907,"Monaco Washington DC, a Kimpton Hotel",4.95,20
84047,"Topaz, a Kimpton Hotel",8.545454545454545,44
84075,"Helix, a Kimpton Hotel",7.5588235294117645,34
217770,The Fairmont Washington DC,5.5,14
84131,Willard InterContinental Washington,8.033333333333333,30
84109,Carlyle Suites Hotel,3.0,8
84117,The Hay-Adams,7.705882352941177,17
120556,"Hotel George, a Kimpton Hotel",9.75,16
235513,Sofitel Washington DC,7.416666666666667,12
