Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,10.0,2
94179,Holiday Inn - Merchandise Mart,4.0,1
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
94097,Value Lodge,3.5,2
100633,Knights Inn Charlotte,3.25,4
94108,Woodlawn Inn,15.5,4
121855,Queen City Inn,10.88888888888889,9
100638,Brookwood Inn - Charlotte,8.0,5
94184,Motel 6 Charlotte Coliseum,21.0,2
530678,Knights Inn Charlotte South,7.166666666666667,6
94173,Airport Parkway Inn,15.0,2
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
121870,VanLandingham Estate,11.5,4
656554,Charlotte Express Inn,8.666666666666666,3
100612,Econo Lodge Coliseum Area,3.0,2
100634,Super 8 Charlotte Amusement Park,12.8,5
94168,Motel 6 Charlotte - South,6.0,2
225334,Studio 6 Charlotte Airport,19.285714285714285,7
100582,BEST WESTERN PLUS Charlotte/Matthews,12.4,5
223210,Knights Inn Charlotte,5.5,2
94109,City Center Inn,10.285714285714286,7
94152,Budget Inn Charlotte,7.0,1
94156,Americas Best Value Inn & Suites Charlotte,12.6,5
1593882,Red Roof Inn Charlotte UNCC,5.0,2
240570,Super 8 Charlotte Sunset Road,3.0,2
559397,Country Hearth Inn Charlotte,7.555555555555555,9
223374,Sonesta ES Suites Charlotte,13.2,10
94186,Red Roof Inn Charlotte Airport West,15.0,1
100870,Sleep Inn North Lake,11.0,5
262983,Royal Inn Charlotte Airport Hotel,13.0,3
94149,Budget Inn,10.0,1
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",10.529411764705882,17
94093,Baymont Inn and Suites Charlotte-Airport,13.4,5
309952,Days Inn Charlotte / Sunset Road,6.333333333333333,3
100601,Fairfield Inn Charlotte/Northlake,30.0,1
628474,Four Points by Sheraton Charlotte,16.857142857142858,21
94130,Crowne Plaza Charlotte,20.77777777777778,9
121918,Microtel Inn by Wyndham Charlotte/University Place,12.375,8
258775,Sun Suites of Charlotte,9.333333333333334,3
94202,Super 8 Charlotte University,6.0,1
94132,Quality Inn - Charlotte,11.818181818181818,11
94095,Days Inn Airport North Charlotte,17.25,4
273191,Comfort Suites Airport,12.0,9
100629,Days Inn Woodlawn Rd. Near Carowinds,5.5,4
94146,Ramada Airport South & Conference Center,11.95,20
100621,Comfort Suites University Area,18.75,4
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,5.0,3
94192,Rodeway Inn,4.0,1
100568,Sleep Inn Billy Graham Parkway,16.5,2
94127,Ramada Charlotte Northeast,15.0,3
94199,BEST WESTERN PLUS Sterling Hotel & Suites,17.22222222222222,9
223916,SpringHill Suites Charlotte University Research Park,12.285714285714286,7
100563,Extended Stay America - Charlotte - Pineville - Pineville Matthews Rd.,12.0,1
223918,TownePlace Suites Charlotte University Research Park,24.0,2
94158,Quality Inn & Suites,10.375,8
100627,Comfort Inn Executive Park,7.8,10
577342,Residence Inn Charlotte SouthPark,12.0,7
94114,Super 8 Charlotte/Downtown Area,23.0,1
94103,Courtyard by Marriott Charlotte SouthPark,19.5,4
223202,Hilton Garden Inn Charlotte North,9.333333333333334,3
223215,Residence Inn Charlotte Piper Glen,16.857142857142858,7
94102,Courtyard Charlotte Arrowood,20.166666666666668,6
223917,TownePlace Suites by Marriott Charlotte Arrowood,10.714285714285714,7
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,10.25,8
