Hotel ID,Hotel Name,Total Rating,Overall Customers
220216,Beacon Hill Hotel and Bistro,4.75,4
121009,Holiday Inn Express Boston,3.0,2
111422,DoubleTree Suites by Hilton - Boston,4.6923076923076925,13
217550,DoubleTree by Hilton Hotel Boston - Downtown,6.833333333333333,12
217000,Days Hotel Boston,3.6666666666666665,3
120977,Copley House,1.5,2
222958,Comfort Inn - Boston,4.6,5
222957,BEST WESTERN PLUS Roundhouse Suites,6.2,5
217148,Ramada Inn Boston,6.5,4
94354,Howard Johnson Inn Fenway Park Boston,6.0,3
111441,Hyatt Regency Boston,5.454545454545454,11
94368,DoubleTree Club by Hilton Hotel Boston Bayside,3.1818181818181817,11
89592,Milner Hotel,3.0,6
94372,Boston Hotel Buckminster,5.0,7
94326,Hilton Boston Downtown / Financial District,7.2,35
217546,Holiday Inn Boston at Beacon Hill,4.875,8
94350,The Midtown Hotel,4.818181818181818,11
77638,The Inn at Longwood Medical,3.5,2
126058,Constitution Inn,4.0,4
89619,Courtyard Boston Downtown / Tremont,3.9545454545454546,22
89620,Hyatt Harborside at Boston's Logan International Airport,5.333333333333333,6
89568,Chandler Inn,4.0,11
89615,Taj Boston,4.0,2
268205,Embassy Suites Boston Logan Airport,4.125,8
111423,Eliot Hotel,5.833333333333333,12
111428,Hilton Boston Back Bay,6.294117647058823,17
120988,Hilton Boston Logan Airport,4.777777777777778,9
111434,Newbury Guest House,3.75,4
268207,Residence Inn by Marriott Boston Harbor on Tudor Wharf,4.0,2
222955,Ritz-Carlton Boston Common,7.285714285714286,7
94399,Club Quarters Boston,3.4166666666666665,12
225873,Charlesmark Hotel,4.0,1
114150,Millennium Bostonian Hotel,3.3333333333333335,18
111417,Boston Marriott Long Wharf,5.357142857142857,14
94344,Marriott's Custom House,9.0,4
114149,"The Langham, Boston",7.4,5
111416,Boston Marriott Copley Place,6.375,8
89617,The Westin Copley Place,5.846153846153846,13
94367,Harborside Inn,4.857142857142857,14
111444,"The Fairmont Copley Plaza, Boston",4.285714285714286,7
94330,Seaport Boston Hotel,6.105263157894737,19
94337,XV Beacon,6.083333333333333,12
89585,Four Seasons Hotel Boston,5.0,2
89575,Boston Harbor Hotel,7.636363636363637,11
94371,Colonnade Hotel,4.842105263157895,19
111418,The Boston Park Plaza Hotel & Towers,3.5,82
89599,Omni Parker House,4.926829268292683,41
114134,The Lenox Hotel,5.0,11
258705,Hotel Commonwealth,7.714285714285714,7
