Hotel ID,Hotel Name,Total Rating,Overall Customers
119998,Bar X Motel,8.0,1
111550,Cameron Motel,9.0,1
83095,Rockies Inn,8.25,4
120087,Broadway Plaza Motel,19.0,1
589144,Valli-Hi Motor Hotel,3.0,2
83086,Royal Palace Motel,3.5,2
85353,Drury Inn Denver East,18.5,26
83061,Motel 6 Denver Central,24.0,1
671614,Knights Inn Denver - Gateway to Downtown,12.0,2
119948,Budget Host Inn,4.5,2
82992,Days Inn Central,5.454545454545454,11
83044,Howard Johnson Inn Denver,4.25,4
223852,TownePlace Suites Denver Downtown,22.0,18
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
120014,Town and Country Motel,30.0,1
82976,Super 8 Denver Stapleton,9.571428571428571,7
85375,Comfort Inn Denver International Airport,11.4,15
543093,Courtyard by Marriott Denver Cherry Creek,14.142857142857142,14
119929,Super 8 Denver / I25 & 58th Ave.,7.25,4
119981,Homestead Studio Suites - Denver - Tech Center - North,8.0,5
114326,Loews Denver Hotel,15.487179487179487,39
85638,Denver Stapleton Hotel,4.8,5
83091,The Burnsley All Suite Hotel,13.15,40
119975,Jet Hotel,11.642857142857142,28
85343,Denver's Best Inn and Suites,10.083333333333334,24
119928,Ramada Denver Midtown,12.555555555555555,9
85330,Comfort Inn & Suites,19.142857142857142,7
111562,Renaissance Denver Hotel,14.121212121212121,33
85346,La Quinta Inn Denver Cherry Creek,16.333333333333332,3
120036,Notel Motel,5.333333333333333,6
85341,Comfort Inn Central,11.5,6
83060,Four Points by Sheraton Denver Southeast,18.708333333333332,48
119941,Crowne Plaza Hotel Denver,10.708333333333334,24
82982,Comfort Inn Downtown,14.368421052631579,38
119938,Motel 6 Denver - Airport,16.0,1
119997,Belcaro Motel,20.5,2
83100,TownePlace Suites Denver Southeast,25.75,12
85366,Quality Inn Denver,8.6,5
82984,Courtyard by Marriott Denver Stapleton,23.6,5
85344,La Quinta Inn Denver Central,12.166666666666666,12
85359,Comfort Suites Denver International Airport,15.818181818181818,11
83023,Fairfield Inn Denver Cherry Creek,16.928571428571427,14
81023,The Timbers Hotel,13.76923076923077,39
85357,Days Inn & Suites DIA-Denver International Airport,15.5,6
83014,Embassy Suites Denver - Southeast,12.0,16
225090,Microtel Inn by Wyndham Denver,16.75,4
82960,Holiday Inn Select Denver - Cherry Creek,11.2,30
270508,Hotel VQ,9.027027027027026,37
120083,Denver Marriott Tech Center,14.846153846153847,13
120072,Hampton Inn Denver - International Airport,14.555555555555555,9
85325,Ramada Inn Downtown Denver,10.966666666666667,30
225093,Red Lion Hotel Denver Central,13.390243902439025,41
83057,Denver Marriott City Center,15.61111111111111,36
530656,Inn at Cherry Creek,16.333333333333332,9
1190033,Hilton Garden Inn Denver Tech Center,11.73076923076923,26
125845,Embassy Suites Hotel Denver - Aurora,11.583333333333334,12
120029,Residence Inn Denver Downtown,17.272727272727273,33
83081,Quality Inn & Suites Denver International Airport,17.636363636363637,11
83038,Ramada Plaza Denver Central Hotel,11.25,8
85372,Courtyard by Marriott Denver Airport,10.5,8
1751673,Super 8 Denver - Airport,16.636363636363637,11
85332,Doubletree by Hilton Hotel Denver,15.416666666666666,24
83051,Hyatt Regency Denver Tech Center,15.206896551724139,29
85352,Hampton Inn & Suites Denver Tech Center,22.25,12
258669,Embassy Suites Denver-International Airport,19.59259259259259,27
119992,Fairfield Inn Denver Airport,19.125,16
578192,Hampton Inn & Suites Denver Downtown,23.58974358974359,39
596431,Hampton Inn & Suites Denver-Speer Boulevard,23.571428571428573,14
83099,The Westin Denver Downtown,13.35483870967742,62
83046,Grand Hyatt Denver Downtown,16.761904761904763,63
657868,Hilton Garden Inn Denver Downtown,22.0,1
85368,La Quinta Inn & Suites Denver Airport DIA,16.625,32
83093,The Oxford Hotel,16.06,50
119993,Courtyard by Marriott Denver Downtown,19.85185185185185,27
83097,Warwick Denver Hotel,11.472727272727273,55
308759,JW Marriott Denver Cherry Creek,19.477272727272727,44
120056,Hotel Monaco Denver - a Kimpton Hotel,17.474747474747474,99
578190,Residence Inn Denver City Center,24.17948717948718,39
83020,The Curtis,21.03448275862069,58
573340,Hyatt Regency Denver At Colorado Convention Center,22.313953488372093,86
83088,The Brown Palace Hotel and Spa,16.865853658536587,82
120058,Hotel Teatro,16.360655737704917,61
530585,"Country Inn & Suites By Carlson, Denver International Airport",18.59259259259259,27
83040,Magnolia Hotel Denver,18.555555555555557,72
