Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.545454545454547,11
108038,Hilton University of Houston,16.65,20
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,23.53125,32
1158926,Hilton Garden Inn Houston Energy Corridor,28.622222222222224,45
107915,Drury Inn & Suites Houston Near The Galleria,25.642857142857142,28
1218737,La Quinta Inn & Suites Houston - Normandy,27.5,2
1630591,Crowne Plaza,32.5,2
559491,Holiday Inn Express Houston East,26.166666666666668,6
1200103,Hotel Sorella CITYCENTRE,28.88679245283019,53
266158,Super 8 Houston/Hobby Airport/I-45,20.0,4
108057,Residence Inn Houston Clear Lake,17.615384615384617,13
223137,La Quinta Inn Houston Northwest,20.0,6
283873,"Hotel Icon, Autograph Collection",20.892857142857142,140
107924,Courtyard by Marriott Houston Westchase,16.333333333333332,15
98952,Four Seasons Hotel Houston,20.71264367816092,87
98920,Houston Marriott Westchase,20.88888888888889,45
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,23.31578947368421,19
99081,Crowne Plaza Houston - Brookhollow,21.65909090909091,44
223158,Quality Inn & Suites West Chase,20.0,3
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
223164,Homewood Suites by Hilton Houston - Clear Lake,24.846153846153847,13
108149,Drury Inn & Suites Houston Hobby,22.3,30
585164,Residence Inn Houston West/Energy Corridor,25.571428571428573,7
99067,"Four Points by Sheraton Houston, Memorial City",24.72222222222222,18
223154,Hampton Inn Houston - Near The Galleria,21.85185185185185,27
99106,La Quinta Inn Houston Medical / Reliant Center,15.708333333333334,24
107834,Hyatt Place Houston/Greenspoint/IAH Airport,23.128205128205128,39
815515,Scottish Inns & Suites - Willowbrook,34.0,1
650546,Symphony Inn & Suites,18.0,2
596014,Staybridge Suites Houston West / Energy Corridor,29.285714285714285,7
256700,Sun Suites of Hobby / Clearlake,17.8,10
223141,Comfort Suites Westchase,20.133333333333333,15
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,17.5,6
108020,BEST WESTERN Heritage Inn,20.583333333333332,12
99004,Americas Best Value Inn-Texas Medical Center/Reliant Park,33.833333333333336,6
256702,Sun Suites Of Westchase,13.428571428571429,14
108150,Courtyard by Marriott Houston Hobby Airport,14.037037037037036,27
223149,Hampton Inn Houston Hobby Airport,16.4,5
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.75,4
258635,Sun Suites Of Greenspoint,21.428571428571427,7
223148,Baymont Inn & Suites Houston,18.761904761904763,21
99132,Hilton Houston Westchase,22.794117647058822,34
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.0,7
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,20.25,4
98989,DoubleTree by Hilton Houston Hobby Airport,19.615384615384617,26
488773,Airport Inn And Suites,30.0,1
108136,Best Value Inn & Suites Houston,30.0,1
98940,Houston Inn and Suites,13.0,5
98962,Holiday Inn Houston Near The Galleria,16.0,17
239859,Studio 6 Houston Northwest,12.333333333333334,3
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
